word_id,word,pinyin,video_url,sort_order,category
00000112_0,大,dà,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000112.mp4,154,common
00000140_0,大家,dàjiā,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000140.mp4,155,common
00001239_1,大名鼎鼎,dàmíng-dĭngdĭng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001239.mp4,156,common
00002999_0,大使馆,dàshĭguǎn,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00002999.mp4,157,common
'00000285,大学,dàxué,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000285.mp4,158,common
00000223_0,大约,dàyuē,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000223.mp4,159,common
00000262_1,代替,dàitì,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000262.mp4,160,common
00000139_0,带①,dài,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000139.mp4,161,common
00000080_1,带②,dài,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000080.mp4,162,common
'00000340,贷款,dàikuǎn,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000340.mp4,163,common
'00001388,戴,dài,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001388.mp4,164,common
00000198_0,担心,dānxīn,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000198.mp4,165,common
00000150_4,单纯②,dānchún,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000150.mp4,166,common
00000507_1,单据,dānjù,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000507.mp4,167,common
00000349_2,耽误②,dānwù,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000349.mp4,168,common
00001481_1,胆量,dǎnliàng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001481.mp4,169,common
00001295_2,诞生,dànshēng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001295.mp4,170,common
'00000710,蛋糕②,dàngāo,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000710.mp4,171,common
00000008_1,当,dāng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000008.mp4,172,common
00000325_1,当时,dāngshí,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000325.mp4,173,common
'00001742,刀,dāo,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001742.mp4,174,common
'00000773,导游②,dǎoyóu,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000773.mp4,175,common
00000349_3,导致,dǎozhì,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000349.mp4,176,common
'00000048,到,dào,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000048.mp4,177,common
'00001042,到处②,dàochù,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001042.mp4,178,common
'00000291,倒,dào,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000291.mp4,179,common
00000283_1,道理②,dào·lĭ,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000283.mp4,180,common
00001493_0,道路,dàolù,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001493.mp4,181,common
00000103_1,道歉,dàoqiàn,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000103.mp4,182,common
